subset_size,subset_indices,AV,CC,PAIRS,CONS
3,"[4, 5, 11]",1981,1728,877188,1492128
3,"[4, 6, 7]",1727,1491,748326,1110795
3,"[4, 6, 8]",642,601,80554,180300
3,"[4, 6, 9]",863,741,120587,274170
3,"[4, 6, 10]",801,705,105315,248160
3,"[4, 6, 11]",1767,1538,799877,1181953
3,"[4, 7, 8]",1576,1351,723463,911925
3,"[4, 7, 9]",1797,1553,767386,1205128
3,"[4, 7, 10]",1735,1371,738848,939135
3,"[4, 7, 11]",2701,2244,1430784,2516646
3,"[4, 8, 9]",712,667,99851,222111
3,"[4, 8, 10]",650,560,80285,156520
3,"[4, 8, 11]",1616,1503,787621,1128753
3,"[4, 9, 10]",871,767,124484,293761
3,"[4, 9, 11]",1837,1556,809086,1209790
3,"[4, 10, 11]",1775,1607,812255,1290421
3,"[5, 6, 7]",1874,1529,777439,1168156
3,"[5, 6, 8]",789,748,136697,279378
3,"[5, 6, 9]",1010,886,176696,392055
3,"[5, 6, 10]",948,846,161030,357435
3,"[5, 6, 11]",1914,1638,852498,1340703
3,"[5, 7, 8]",1723,1389,752585,963966
3,"[5, 7, 9]",1944,1588,796467,1260078
3,"[5, 7, 10]",1882,1414,768102,998991
3,"[5, 7, 11]",2848,2247,1456687,2523381
3,"[5, 8, 9]",859,811,155969,328455
3,"[5, 8, 10]",797,699,135995,243951
3,"[5, 8, 11]",1763,1603,840250,1284003
3,"[5, 9, 10]",1018,907,180180,410871
3,"[5, 9, 11]",1984,1660,861749,1376970
3,"[5, 10, 11]",1922,1706,864510,1454365
3,"[6, 7, 8]",1509,1435,723158,1028895
3,"[6, 7, 9]",1730,1566,762810,1225395
3,"[6, 7, 10]",1668,1478,739812,1091503
3,"[6, 7, 11]",2634,2217,1417612,2456436
3,"[6, 8, 9]",645,524,77082,137026
3,"[6, 8, 10]",583,538,64011,144453
3,"[6, 8, 11]",1549,1323,756348,874503
3,"[6, 9, 10]",804,675,103946,227475
3,"[6, 9, 11]",1770,1357,775982,920046
3,"[6, 10, 11]",1708,1472,783149,1082656
3,"[7, 8, 9]",1579,1501,742270,1125750
3,"[7, 8, 10]",1517,1338,714973,894453
3,"[7, 8, 11]",2483,2183,1405476,2381653
3,"[7, 9, 10]",1738,1534,758775,1175811
3,"[7, 9, 11]",2704,2242,1426916,2512161
3,"[7, 10, 11]",2642,2228,1422099,2480878
3,"[8, 9, 10]",653,600,83223,179700
3,"[8, 9, 11]",1619,1339,765568,895791
3,"[8, 10, 11]",1557,1439,770923,1034641
3,"[9, 10, 11]",1778,1494,792371,1115271
4,"[0, 1, 2, 3]",2213,1768,1075284,1562028
4,"[0, 1, 2, 4]",1182,858,248579,367653
4,"[0, 1, 2, 5]",1329,994,304413,493521
4,"[0, 1, 2, 6]",1115,949,245197,449826
4,"[0, 1, 2, 7]",2049,1464,825348,1070916
4,"[0, 1, 2, 8]",964,798,220053,318003
4,"[0, 1, 2, 9]",1185,1001,263877,500500
4,"[0, 1, 2, 10]",1123,824,235608,339076
4,"[0, 1, 2, 11]",2089,1818,948139,1651653
4,"[0, 1, 3, 4]",2484,1823,1101532,1660753
4,"[0, 1, 3, 5]",2631,1865,1140141,1738180
4,"[0, 1, 3, 6]",2417,1892,1099372,1788886
4,"[0, 1, 3, 7]",3351,2087,1530891,2176741
4,"[0, 1, 3, 8]",2266,1792,1077730,1604736
4,"[0, 1, 3, 9]",2487,1943,1117500,1886653
4,"[0, 1, 3, 10]",2425,1812,1091605,1640766
4,"[0, 1, 3, 11]",3391,2337,1636558,2729616
4,"[0, 1, 4, 5]",1600,1058,331823,559153
4,"[0, 1, 4, 6]",1386,1056,276932,557040
4,"[0, 1, 4, 7]",2320,1508,845723,1136278
4,"[0, 1, 4, 8]",1235,903,251776,407253
4,"[0, 1, 4, 9]",1456,1101,295520,605550
4,"[0, 1, 4, 10]",1394,918,266487,420903
4,"[0, 1, 4, 11]",2360,1897,978747,1798356
4,"[0, 1, 5, 6]",1533,1183,332674,699153
4,"[0, 1, 5, 7]",2467,1542,875244,1188111
4,"[0, 1, 5, 8]",1382,1034,307544,534061
4,"[0, 1, 5, 9]",1603,1228,351254,753378
4,"[0, 1, 5, 10]",1541,1049,321968,549676
4,"[0, 1, 5, 11]",2507,1992,1031110,1983036
4,"[0, 1, 6, 7]",2253,1640,853210,1343980
4,"[0, 1, 6, 8]",1168,987,248303,486591
4,"[0, 1, 6, 9]",1389,1116,287796,622170
4,"[0, 1, 6, 10]",1327,1013,263835,512578
4,"[0, 1, 6, 11]",2293,1865,962389,1738180
4,"[0, 1, 7, 8]",2102,1498,828299,1121253
4,"[0, 1, 7, 9]",2323,1687,871658,1422141
4,"[0, 1, 7, 10]",2261,1501,839191,1125750
4,"[0, 1, 7, 11]",3227,2353,1531102,2767128
4,"[0, 1, 8, 9]",1238,1038,266963,538203
4,"[0, 1, 8, 10]",1176,863,238721,371953
4,"[0, 1, 8, 11]",2142,1832,950102,1677196
4,"[0, 1, 9, 10]",1397,1058,282372,559153
4,"[0, 1, 9, 11]",2363,1872,971047,1751256
4,"[0, 1, 10, 11]",2301,1863,965628,1734453
4,"[0, 2, 3, 4]",2324,1786,1090898,1594005
4,"[0, 2, 3, 5]",2471,1844,1131309,1699246
4,"[0, 2, 3, 6]",2257,1844,1088058,1699246
4,"[0, 2, 3, 7]",3191,2086,1526523,2174655
4,"[0, 2, 3, 8]",2106,1747,1066433,1525131
4,"[0, 2, 3, 9]",2327,1900,1106221,1804050
4,"[0, 2, 3, 10]",2265,1777,1081229,1577976
4,"[0, 2, 3, 11]",3231,2292,1625315,2625486
4,"[0, 2, 4, 5]",1440,1032,322421,531996
4,"[0, 2, 4, 6]",1226,994,264858,493521
4,"[0, 2, 4, 7]",2160,1499,840611,1122751
4,"[0, 2, 4, 8]",1075,841,239706,353220
4,"[0, 2, 4, 9]",1296,1041,283476,541320
4,"[0, 2, 4, 10]",1234,872,255348,379756
4,"[0, 2, 4, 11]",2200,1841,966812,1693720
4,"[0, 2, 5, 6]",1373,1147,322681,657231
4,"[0, 2, 5, 7]",2307,1548,871321,1197378
