subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
4,"[4, 6, 8, 11]",1858,1564,802464,1222266,False,0.99609375,0.42526894026092926,0.6024653312788906,0.3868683518331392,0.36287218219225664,0.99609375
4,"[4, 6, 9, 10]",1113,895,148992,400065,False,0.99609375,0.25474937056534674,0.3447611710323575,0.0718291281307611,0.11877321267935552,0.99609375
4,"[4, 6, 9, 11]",2079,1600,822077,1279200,False,0.99609375,0.4758525978484779,0.6163328197226502,0.39632379031324966,0.37977502070771396,0.99609375
4,"[4, 6, 10, 11]",2017,1663,827034,1381953,True,1.0,0.46166170748455027,0.6406009244992296,0.3987135628389167,0.4102808233208939,1.0
4,"[4, 7, 8, 9]",1888,1602,770974,1282401,False,0.99609375,0.4321355001144427,0.6171032357473035,0.37168700488271456,0.380725348913847,0.99609375
4,"[4, 7, 8, 10]",1826,1427,742489,1017451,False,0.99609375,0.417944609750515,0.5496918335901386,0.3579543701452473,0.3020657243543498,0.99609375
4,"[4, 7, 8, 11]",2792,2264,1433168,2561716,True,1.0,0.6390478370336461,0.8721109399075501,0.6909311097569442,0.7605345113721718,1.0
4,"[4, 7, 9, 10]",2047,1619,786226,1309771,False,0.99609375,0.46852826733806363,0.6236517719568567,0.3790400027768993,0.38885108555922704,0.99609375
4,"[4, 7, 9, 11]",3013,2320,1454560,2690040,True,1.0,0.6896314946211948,0.8936825885978429,0.7012442051511482,0.798631954897263,1.0
4,"[4, 7, 10, 11]",2951,2292,1448543,2625486,True,1.0,0.6754406042572672,0.8828967642526965,0.6983434060212432,0.7794668542978527,1.0
4,"[4, 8, 9, 10]",962,824,128287,339076,False,0.99609375,0.22018768596932936,0.31741140215716485,0.06184723582817164,0.10066650634888119,0.99609375
4,"[4, 8, 9, 11]",1928,1581,811653,1248990,False,0.99609375,0.4412909132524605,0.6090138674884438,0.3912983739711974,0.3708061312646401,0.99609375
4,"[4, 8, 10, 11]",1866,1633,814827,1332528,True,1.0,0.4271000228885328,0.6290446841294299,0.39282856118049075,0.3956072926779305,1.0
4,"[4, 9, 10, 11]",2087,1686,836233,1420455,True,1.0,0.4776836804760815,0.6494607087827426,0.4031484059826752,0.42171148142540327,1.0
