subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR
3,"[0, 4, 7]",70,43,675,903,True,1.0
3,"[0, 4, 8]",66,44,659,946,True,1.0
3,"[0, 4, 9]",67,44,683,946,True,1.0
3,"[0, 5, 6]",63,41,620,820,True,1.0
3,"[0, 5, 7]",60,40,588,780,True,1.0
3,"[0, 5, 8]",56,41,564,820,True,1.0
3,"[0, 5, 9]",57,43,591,903,True,1.0
3,"[0, 6, 7]",70,40,637,780,True,1.0
3,"[0, 6, 8]",66,43,639,903,True,1.0
3,"[0, 6, 9]",67,42,650,861,True,1.0
3,"[0, 7, 8]",63,42,607,861,True,1.0
3,"[0, 7, 9]",64,42,630,861,True,1.0
3,"[0, 8, 9]",60,41,598,820,True,1.0
3,"[1, 2, 3]",71,46,701,1035,True,1.0
3,"[1, 2, 4]",73,43,676,903,True,1.0
3,"[1, 2, 5]",63,41,600,820,True,1.0
3,"[1, 2, 6]",73,45,702,990,True,1.0
3,"[1, 2, 7]",70,45,689,990,True,1.0
3,"[1, 2, 8]",66,42,616,861,True,1.0
3,"[1, 2, 9]",67,45,643,990,True,1.0
3,"[1, 3, 4]",66,43,594,903,True,1.0
3,"[1, 3, 5]",56,38,490,703,True,1.0
3,"[1, 3, 6]",66,42,600,861,True,1.0
3,"[1, 3, 7]",63,42,564,861,True,1.0
3,"[1, 3, 8]",59,38,513,703,True,1.0
3,"[1, 3, 9]",60,40,532,780,True,1.0
3,"[1, 4, 5]",58,40,509,780,True,1.0
3,"[1, 4, 6]",68,41,604,820,True,1.0
3,"[1, 4, 7]",65,41,574,820,True,1.0
3,"[1, 4, 8]",61,39,519,741,True,1.0
3,"[1, 4, 9]",62,41,546,820,True,1.0
3,"[1, 5, 6]",58,40,523,780,True,1.0
3,"[1, 5, 7]",55,40,494,780,True,1.0
3,"[1, 5, 8]",51,35,419,595,True,1.0
3,"[1, 5, 9]",52,37,446,666,True,1.0
3,"[1, 6, 7]",65,41,576,820,True,1.0
3,"[1, 6, 8]",61,40,540,780,True,1.0
3,"[1, 6, 9]",62,40,554,780,True,1.0
3,"[1, 7, 8]",58,40,512,780,True,1.0
3,"[1, 7, 9]",59,42,541,861,True,1.0
3,"[1, 8, 9]",55,38,461,703,True,1.0
3,"[2, 3, 4]",66,43,609,903,True,1.0
3,"[2, 3, 5]",56,40,503,780,True,1.0
3,"[2, 3, 6]",66,42,610,861,True,1.0
3,"[2, 3, 7]",63,42,569,861,True,1.0
3,"[2, 3, 8]",59,42,541,861,True,1.0
3,"[2, 3, 9]",60,41,538,820,True,1.0
3,"[2, 4, 5]",58,39,517,741,True,1.0
3,"[2, 4, 6]",68,43,619,903,True,1.0
3,"[2, 4, 7]",65,43,586,903,True,1.0
3,"[2, 4, 8]",61,40,538,780,True,1.0
