subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
9,395000,"[1, 5, 4, 7, 11, 10, 2, 8, 3]",1521,258,32416,33153,0.7856404958677686,0.9885057471264368,0.9553787208959623,0.9770999115826702
7,245000,"[1, 5, 4, 7, 11, 10, 6]",1146,259,31722,33411,0.5919421487603306,0.9923371647509579,0.9349248452696729,0.9847038019451813
10,490000,"[1, 5, 4, 7, 11, 10, 2, 6, 12, 3]",1646,259,32846,33411,0.8502066115702479,0.9923371647509579,0.9680518715001474,0.9847038019451813
9,405000,"[1, 5, 4, 7, 11, 10, 8, 6, 3]",1488,259,32584,33411,0.768595041322314,0.9923371647509579,0.9603300913645741,0.9847038019451813
8,320000,"[1, 5, 4, 7, 11, 10, 8, 12]",1247,258,31515,33153,0.6441115702479339,0.9885057471264368,0.9288240495137047,0.9770999115826702
10,490000,"[1, 5, 4, 7, 11, 10, 8, 6, 12, 3]",1601,259,32662,33411,0.8269628099173554,0.9923371647509579,0.9626289419392867,0.9847038019451813
9,430000,"[1, 5, 4, 7, 11, 10, 6, 12, 3]",1451,259,32463,33411,0.7494834710743802,0.9923371647509579,0.956763925729443,0.9847038019451813
10,500000,"[1, 5, 4, 7, 11, 2, 8, 6, 12, 3]",1656,259,32853,33411,0.8553719008264463,0.9923371647509579,0.9682581786030062,0.9847038019451813
9,390000,"[1, 5, 4, 7, 11, 10, 8, 6, 12]",1409,259,32292,33411,0.7277892561983471,0.9923371647509579,0.9517241379310345,0.9847038019451813
8,315000,"[1, 5, 4, 7, 11, 2, 8, 6]",1351,259,32499,33411,0.6978305785123967,0.9923371647509579,0.9578249336870026,0.9847038019451813
8,335000,"[1, 5, 4, 7, 11, 10, 8, 3]",1326,258,31993,33153,0.6849173553719008,0.9885057471264368,0.942911877394636,0.9770999115826702
9,420000,"[1, 5, 4, 7, 11, 10, 8, 12, 3]",1439,258,32118,33153,0.7432851239669421,0.9885057471264368,0.9465959328028294,0.9770999115826702
8,335000,"[1, 5, 4, 7, 11, 10, 2, 3]",1371,258,32314,33153,0.7081611570247934,0.9885057471264368,0.9523725316828765,0.9770999115826702
9,405000,"[1, 5, 4, 7, 11, 10, 2, 6, 3]",1533,259,32796,33411,0.7918388429752066,0.9923371647509579,0.96657824933687,0.9847038019451813
7,260000,"[1, 5, 4, 7, 11, 10, 12]",1097,258,30901,33153,0.5666322314049587,0.9885057471264368,0.910727969348659,0.9770999115826702
6,185000,"[1, 5, 4, 7, 11, 2]",1039,257,31374,32896,0.5366735537190083,0.9846743295019157,0.9246684350132626,0.9695254936634247
8,330000,"[1, 5, 4, 7, 11, 10, 6, 12]",1259,259,31834,33411,0.6503099173553719,0.9923371647509579,0.938225758915414,0.9847038019451813
7,275000,"[1, 5, 4, 7, 11, 10, 3]",1176,258,31722,33153,0.6074380165289256,0.9885057471264368,0.9349248452696729,0.9770999115826702
9,400000,"[1, 5, 4, 7, 11, 2, 8, 6, 12]",1464,259,32566,33411,0.756198347107438,0.9923371647509579,0.9597995873857943,0.9847038019451813
8,345000,"[1, 5, 4, 7, 11, 10, 6, 3]",1338,259,32380,33411,0.6911157024793388,0.9923371647509579,0.9543177129384026,0.9847038019451813
8,360000,"[1, 5, 4, 7, 11, 10, 12, 3]",1289,258,31854,33153,0.6658057851239669,0.9885057471264368,0.938815207780725,0.9770999115826702
9,415000,"[1, 5, 4, 7, 11, 2, 8, 6, 3]",1543,259,32798,33411,0.797004132231405,0.9923371647509579,0.9666371942234011,0.9847038019451813
7,255000,"[1, 5, 4, 7, 11, 2, 6]",1201,258,32165,33153,0.6203512396694215,0.9885057471264368,0.9479811376363101,0.9770999115826702
8,330000,"[1, 5, 4, 7, 11, 2, 8, 12]",1302,258,31901,33153,0.6725206611570248,0.9885057471264368,0.9402004126142057,0.9770999115826702
7,270000,"[1, 5, 4, 7, 11, 2, 12]",1152,257,31522,32896,0.5950413223140496,0.9846743295019157,0.9290303566165635,0.9695254936634247
7,255000,"[1, 5, 4, 7, 11, 8, 6]",1156,259,31984,33411,0.5971074380165289,0.9923371647509579,0.9426466254052461,0.9847038019451813
9,430000,"[1, 5, 4, 7, 11, 2, 8, 12, 3]",1494,258,32354,33153,0.7716942148760331,0.9885057471264368,0.9535514294134984,0.9770999115826702
8,340000,"[1, 5, 4, 7, 11, 2, 6, 12]",1314,258,32244,33153,0.6787190082644629,0.9885057471264368,0.9503094606542882,0.9770999115826702
8,340000,"[1, 5, 4, 7, 11, 8, 6, 12]",1269,259,32092,33411,0.6554752066115702,0.9923371647509579,0.9458296492779251,0.9847038019451813
6,185000,"[1, 5, 4, 7, 11, 8]",994,258,30986,33153,0.5134297520661157,0.9885057471264368,0.9132331270262305,0.9770999115826702
7,270000,"[1, 5, 4, 7, 11, 8, 12]",1107,258,31168,33153,0.5717975206611571,0.9885057471264368,0.91859711170056,0.9770999115826702
6,195000,"[1, 5, 4, 7, 11, 6]",1006,258,31310,33153,0.5196280991735537,0.9885057471264368,0.9227821986442676,0.9770999115826702
7,285000,"[1, 5, 4, 7, 11, 8, 3]",1186,258,31783,33153,0.612603305785124,0.9885057471264368,0.9367226643088712,0.9770999115826702
6,210000,"[1, 5, 4, 7, 11, 12]",957,256,30273,32640,0.4943181818181818,0.9808429118773946,0.8922192749778957,0.9619805481874447
8,370000,"[1, 5, 4, 7, 11, 8, 12, 3]",1299,258,31931,33153,0.6709710743801653,0.9885057471264368,0.9410845859121721,0.9770999115826702
7,285000,"[1, 5, 4, 7, 11, 2, 3]",1231,258,32116,33153,0.6358471074380165,0.9885057471264368,0.9465369879162983,0.9770999115826702
8,345000,"[1, 5, 4, 7, 11, 2, 8, 3]",1381,258,32255,33153,0.7133264462809917,0.9885057471264368,0.9506336575302092,0.9770999115826702
5,130000,"[1, 5, 4, 7, 9]",850,253,29718,31878,0.4390495867768595,0.9693486590038314,0.8758620689655172,0.9395225464190982
7,280000,"[1, 5, 4, 7, 11, 6, 12]",1119,258,31436,33153,0.577995867768595,0.9885057471264368,0.9264957264957265,0.9770999115826702
8,380000,"[1, 5, 4, 7, 11, 6, 12, 3]",1311,259,32287,33411,0.6771694214876033,0.9923371647509579,0.9515767757147068,0.9847038019451813
7,310000,"[1, 5, 4, 7, 11, 12, 3]",1149,258,31565,33153,0.59349173553719,0.9885057471264368,0.9302976716769821,0.9770999115826702
8,355000,"[1, 5, 4, 7, 11, 8, 6, 3]",1348,259,32476,33411,0.6962809917355371,0.9923371647509579,0.957147067491895,0.9847038019451813
6,180000,"[1, 5, 4, 7, 9, 10]",990,256,30404,32640,0.5113636363636364,0.9808429118773946,0.8960801650456823,0.9619805481874447
6,225000,"[1, 5, 4, 7, 11, 3]",1036,258,31408,33153,0.5351239669421488,0.9885057471264368,0.9256704980842911,0.9770999115826702
9,440000,"[1, 5, 4, 7, 11, 2, 6, 12, 3]",1506,259,32742,33411,0.7778925619834711,0.9923371647509579,0.9649867374005305,0.9847038019451813
7,295000,"[1, 5, 4, 7, 11, 6, 3]",1198,259,32193,33411,0.618801652892562,0.9923371647509579,0.9488063660477454,0.9847038019451813
8,370000,"[1, 5, 4, 7, 11, 2, 12, 3]",1344,258,32222,33153,0.6942148760330579,0.9885057471264368,0.9496610669024462,0.9770999115826702
8,355000,"[1, 5, 4, 7, 11, 2, 6, 3]",1393,259,32682,33411,0.7195247933884298,0.9923371647509579,0.9632183908045977,0.9847038019451813
9,440000,"[1, 5, 4, 7, 11, 8, 6, 12, 3]",1461,259,32563,33411,0.7546487603305785,0.9923371647509579,0.9597111700559976,0.9847038019451813
7,240000,"[1, 5, 4, 7, 9, 10, 2]",1185,257,31656,32896,0.6120867768595041,0.9846743295019157,0.9329796640141468,0.9695254936634247
8,300000,"[1, 5, 4, 7, 9, 10, 2, 8]",1335,258,32022,33153,0.6895661157024794,0.9885057471264368,0.9437665782493369,0.9770999115826702
9,370000,"[1, 5, 4, 7, 9, 10, 2, 8, 6]",1497,259,32654,33411,0.7732438016528925,0.9923371647509579,0.9623931623931624,0.9847038019451813
