subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
8,569130,"[9, 8, 3, 4, 6, 2, 5, 0]",3019,629,182861,197506,0.7025831975797068,0.9632465543644717,0.9138389421395089,0.9277896259829573
7,368205,"[9, 8, 3, 4, 6, 2, 1]",3161,649,197797,210276,0.7356295089597393,0.9938744257274119,0.9884808747538755,0.9877770366125198
8,618205,"[9, 8, 3, 4, 6, 2, 1, 0]",3548,651,198730,211575,0.825692343495462,0.996937212863706,0.9931434968166235,0.9938791232536947
7,461640,"[9, 8, 3, 4, 6, 2, 0]",3019,629,182861,197506,0.7025831975797068,0.9632465543644717,0.9138389421395089,0.9277896259829573
6,226880,"[9, 8, 3, 4, 6, 5]",2131,600,164325,179700,0.495927391203165,0.9188361408882083,0.8212061848457287,0.8441454729939214
7,383445,"[9, 8, 3, 4, 6, 5, 1]",2660,637,188448,202566,0.6190365371189201,0.9754977029096478,0.9417597025516986,0.9515591089732147
8,633445,"[9, 8, 3, 4, 6, 5, 1, 0]",3047,640,189823,204480,0.7090993716546428,0.9800918836140888,0.9486311980889747,0.9605501742782251
7,476880,"[9, 8, 3, 4, 6, 5, 0]",2518,608,168472,184528,0.5859902257388876,0.9310872894333844,0.8419306153861531,0.8668251298866018
6,275955,"[9, 8, 3, 4, 6, 1]",2660,637,188448,202566,0.6190365371189201,0.9754977029096478,0.9417597025516986,0.9515591089732147
7,525955,"[9, 8, 3, 4, 6, 1, 0]",3047,640,189823,204480,0.7090993716546428,0.9800918836140888,0.9486311980889747,0.9605501742782251
6,369390,"[9, 8, 3, 4, 6, 0]",2518,608,168472,184528,0.5859902257388876,0.9310872894333844,0.8419306153861531,0.8668251298866018
5,128390,"[9, 8, 3, 4, 10]",2031,584,154976,170236,0.4726553409355364,0.8943338437978561,0.7744850126435517,0.7996880842548314
6,184470,"[9, 8, 3, 4, 10, 7]",2441,598,161699,178503,0.5680707470328136,0.9157733537519143,0.8080828777323565,0.8385225340335779
7,276720,"[9, 8, 3, 4, 10, 7, 2]",2942,624,178989,194376,0.6846637188736328,0.9555895865237366,0.8944888107065396,0.913086368718233
8,384210,"[9, 8, 3, 4, 10, 7, 2, 5]",2942,624,178989,194376,0.6846637188736328,0.9555895865237366,0.8944888107065396,0.913086368718233
9,540775,"[9, 8, 3, 4, 10, 7, 2, 5, 1]",3471,649,196746,210276,0.8077728647893879,0.9938744257274119,0.9832285534377467,0.9877770366125198
10,790775,"[9, 8, 3, 4, 10, 7, 2, 5, 1, 0]",3858,651,197768,211575,0.8978356993251105,0.996937212863706,0.9883359486661802,0.9938791232536947
9,634210,"[9, 8, 3, 4, 10, 7, 2, 5, 0]",3329,631,182350,198765,0.7747265534093554,0.9663093415007658,0.9112852445252921,0.9337038115728258
8,433285,"[9, 8, 3, 4, 10, 7, 2, 1]",3471,649,196746,210276,0.8077728647893879,0.9938744257274119,0.9832285534377467,0.9877770366125198
9,683285,"[9, 8, 3, 4, 10, 7, 2, 1, 0]",3858,651,197768,211575,0.8978356993251105,0.996937212863706,0.9883359486661802,0.9938791232536947
8,526720,"[9, 8, 3, 4, 10, 7, 2, 0]",3329,631,182350,198765,0.7747265534093554,0.9663093415007658,0.9112852445252921,0.9337038115728258
7,291960,"[9, 8, 3, 4, 10, 7, 5]",2441,598,161699,178503,0.5680707470328136,0.9157733537519143,0.8080828777323565,0.8385225340335779
8,448525,"[9, 8, 3, 4, 10, 7, 5, 1]",2970,633,185352,200028,0.6911798929485687,0.9693721286370597,0.9262875933274031,0.9396367872678247
9,698525,"[9, 8, 3, 4, 10, 7, 5, 1, 0]",3357,636,186844,201930,0.7812427274842914,0.9739663093415007,0.9337437906667599,0.9485714822574433
8,541960,"[9, 8, 3, 4, 10, 7, 5, 0]",2828,609,166922,185136,0.6581335815685362,0.9326186830015314,0.8341845658714055,0.8696812258664587
7,341035,"[9, 8, 3, 4, 10, 7, 1]",2970,633,185352,200028,0.6911798929485687,0.9693721286370597,0.9262875933274031,0.9396367872678247
8,591035,"[9, 8, 3, 4, 10, 7, 1, 0]",3357,636,186844,201930,0.7812427274842914,0.9739663093415007,0.9337437906667599,0.9485714822574433
7,434470,"[9, 8, 3, 4, 10, 7, 0]",2828,609,166922,185136,0.6581335815685362,0.9326186830015314,0.8341845658714055,0.8696812258664587
6,220640,"[9, 8, 3, 4, 10, 2]",2532,615,174691,188805,0.5892483127763556,0.9418070444104135,0.8730097650198398,0.8869164497975366
7,328130,"[9, 8, 3, 4, 10, 2, 5]",2532,615,174691,188805,0.5892483127763556,0.9418070444104135,0.8730097650198398,0.8869164497975366
8,484695,"[9, 8, 3, 4, 10, 2, 5, 1]",3061,648,195921,209628,0.7123574586921108,0.9923430321592649,0.9791056561153811,0.9847330395813565
9,734695,"[9, 8, 3, 4, 10, 2, 5, 1, 0]",3448,650,196955,210925,0.8024202932278334,0.9954058192955589,0.9842730207594127,0.9908257311699659
8,578130,"[9, 8, 3, 4, 10, 2, 5, 0]",2919,624,178747,194376,0.6793111473120782,0.9555895865237366,0.8932794274919791,0.913086368718233
7,377205,"[9, 8, 3, 4, 10, 2, 1]",3061,648,195921,209628,0.7123574586921108,0.9923430321592649,0.9791056561153811,0.9847330395813565
8,627205,"[9, 8, 3, 4, 10, 2, 1, 0]",3448,650,196955,210925,0.8024202932278334,0.9954058192955589,0.9842730207594127,0.9908257311699659
7,470640,"[9, 8, 3, 4, 10, 2, 0]",2919,624,178747,194376,0.6793111473120782,0.9555895865237366,0.8932794274919791,0.913086368718233
