subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
8,582580,"[6, 8, 10, 4, 0, 5, 11, 12]",4365,1781,1090488,1585090,0.6871851385390428,0.940337909186906,0.8633070287661342,0.8842057466205455
8,642580,"[6, 8, 10, 4, 0, 5, 11, 2]",4748,1814,1120013,1644391,0.7474811083123426,0.9577613516367476,0.8866810961784488,0.9172854360895
7,382580,"[6, 8, 10, 4, 0, 5, 12]",4269,1771,1088935,1567335,0.6720717884130982,0.9350580781414994,0.862077564695302,0.8743015310673291
8,642580,"[6, 8, 10, 4, 0, 5, 12, 2]",4744,1813,1119568,1642578,0.7468513853904282,0.957233368532207,0.8863288028677467,0.9162740960276592
7,442580,"[6, 8, 10, 4, 0, 5, 2]",4652,1805,1118486,1628110,0.732367758186398,0.9530095036958818,0.8854722155370058,0.908203457299192
7,522580,"[6, 8, 10, 4, 0, 5, 7]",4859,1786,1133771,1594005,0.764955919395466,0.9429778247096092,0.8975728970068527,0.8891787729036728
7,577580,"[6, 8, 10, 4, 0, 5, 9]",4607,1833,1137321,1679028,0.7252833753148614,0.96779303062302,0.9003833267888584,0.9366068843641694
6,300100,"[6, 8, 10, 4, 0, 3]",4059,1775,1072429,1574425,0.6390113350125944,0.937170010559662,0.8490102537145173,0.8782565233665296
7,500100,"[6, 8, 10, 4, 0, 3, 11]",4155,1787,1074024,1595791,0.654124685138539,0.94350580781415,0.8502729679405171,0.8901750516408198
7,500100,"[6, 8, 10, 4, 0, 3, 12]",4151,1782,1073465,1586871,0.6534949622166247,0.9408658922914468,0.8498304242086463,0.88519923622349
7,560100,"[6, 8, 10, 4, 0, 3, 2]",4534,1812,1101279,1640766,0.7137909319899244,0.9567053854276664,0.8718499436330703,0.9152633137926592
7,640100,"[6, 8, 10, 4, 0, 3, 7]",4741,1800,1118850,1619100,0.7463790931989924,0.9503695881731784,0.8857603835484565,0.9031774374662166
7,695100,"[6, 8, 10, 4, 0, 3, 9]",4489,1842,1118346,1695561,0.7067065491183879,0.972544878563886,0.8853613816864478,0.9458294355182852
7,562100,"[6, 8, 10, 4, 0, 11, 2]",3943,1748,1030664,1526878,0.6207493702770781,0.9229144667370645,0.8159461410819917,0.8517335305809042
7,642100,"[6, 8, 10, 4, 0, 11, 7]",4150,1731,1045010,1497315,0.6533375314861462,0.9139387539598732,0.827303444082739,0.8352424956949713
