election,n_voters,n_projects,budget,committee_size,total_cost,ejr_abcvoting,alpha_ilp,validation,error
poland_lodz_2020_retkinia-zachod-smulsko,2650,13,605000,1,604600,True,0.03712004482420507,MISMATCH,
poland_lodz_2020_rokicie,1960,11,533000,9,528200,True,0.6451400546394128,MISMATCH,
poland_lodz_2020_ruda,2322,13,491000,8,468200,True,0.4338646088305088,MISMATCH,
poland_lodz_2020_stare-polesie,2847,12,657000,5,655700,True,0.10833333333333334,MISMATCH,
poland_lodz_2020_widzew-wschod,2426,8,694000,8,403500,True,1.0,PASS,
poland_lodz_2020_wiskitno,1362,3,428000,3,196000,True,1.0,PASS,
poland_lodz_2020_wzniesien-lodzkich,689,6,411000,5,410900,True,1.0,PASS,
poland_lodz_2020_zdrowie-mania,890,13,425000,12,324500,True,0.07755991285403051,MISMATCH,
poland_lodz_2022_andrzejow,1044,7,461000,3,460000,True,0.3895522388059702,MISMATCH,
poland_lodz_2022_gorniak,1402,13,572000,5,566565,True,0.19037273406205446,MISMATCH,
poland_lodz_2022_im-jozefa-montwilla-mireckiego,652,9,416000,6,403000,True,0.3644901610017889,MISMATCH,
poland_lodz_2022_lagiewniki,981,7,416000,1,400000,True,0.1894114921223355,MISMATCH,
poland_lodz_2022_lublinek-pienista,1557,13,459000,6,451400,True,0.08849104859335039,MISMATCH,
poland_lodz_2022_mileszki,619,4,422000,1,421000,True,0.1919814608307778,MISMATCH,
poland_lodz_2022_nad-nerem,315,8,411000,2,400000,True,0.7664233576642335,MISMATCH,
poland_lodz_2022_nowosolna,652,5,446000,2,444000,True,1.0,PASS,
poland_lodz_2022_nr-33,579,6,414000,5,349600,True,0.5594202898550724,MISMATCH,
poland_lodz_2022_olechow-janow,2843,12,615000,6,427000,True,0.2611731202057783,MISMATCH,
poland_lodz_2022_piastow-kurak,2936,9,588000,5,530470,True,0.7007996180928512,MISMATCH,
poland_lodz_2022_rokicie,1962,13,567000,10,565100,True,0.17594834543987087,MISMATCH,
poland_lodz_2022_widzew-wschod,3300,13,774000,8,772900,True,0.1687022475043221,MISMATCH,
poland_lodz_2022_wiskitno,1130,3,438000,3,336300,True,1.0,PASS,
poland_lodz_2022_wzniesien-lodzkich,784,3,414000,1,414000,True,0.08325048425867582,MISMATCH,
poland_lodz_2022_zarzew,2507,12,598000,10,577100,True,0.16249254621347645,MISMATCH,
poland_lodz_2022_zlotno,3452,13,497000,6,487600,True,0.14904879923316725,MISMATCH,
poland_lodz_2023_andrzejow,939,10,484000,8,462000,True,0.5820247933884297,MISMATCH,
poland_lodz_2023_baluty-zachodnie,3253,8,499000,6,446000,False,0.0547052146250543,EXPECTED,
poland_lodz_2023_dolina-lodki,1678,13,435000,3,427100,True,0.07170020937486647,MISMATCH,
poland_lodz_2023_gorniak,1275,6,627000,4,556000,True,0.22594364699627859,MISMATCH,
poland_lodz_2023_im-jozefa-montwilla-mireckiego,458,8,421000,7,350570,True,0.19426535459789618,MISMATCH,
poland_lodz_2023_lagiewniki,1250,12,422000,7,407400,True,0.24891473176948503,MISMATCH,
poland_lodz_2023_mileszki,1281,8,432000,1,430000,True,0.18649545772187281,MISMATCH,
poland_lodz_2023_nad-nerem,409,9,415000,6,403000,True,0.46930579460699945,MISMATCH,
poland_lodz_2023_nowosolna,1557,11,465000,1,465000,True,0.1550179211469534,MISMATCH,
poland_lodz_2023_nr-33,978,9,420000,6,402200,True,0.8316326530612245,MISMATCH,
poland_lodz_2023_piastow-kurak,1420,13,648000,11,528900,True,0.20543981481481483,MISMATCH,
poland_lodz_2023_ruda,1896,11,550000,6,541200,True,0.05862708719851577,MISMATCH,
poland_lodz_2023_wiskitno,1907,10,453000,2,439600,True,0.07957869611120152,MISMATCH,
poland_lodz_2023_wzniesien-lodzkich,362,3,419000,1,414700,True,0.11675159646520028,MISMATCH,
poland_lodz_2023_zdrowie-mania,1144,11,446000,9,401900,True,0.3345681419379996,MISMATCH,
poland_lodz_2024_andrzejow,2186,7,516000,1,515000,True,0.4353647700462665,MISMATCH,
poland_lodz_2024_baluty-zachodnie,5723,13,538000,9,535500,True,0.17680132634462306,MISMATCH,
poland_lodz_2024_dolina-lodki,976,10,451000,1,451000,True,0.2121646884918047,MISMATCH,
poland_lodz_2024_im-jozefa-montwilla-mireckiego,898,13,429000,7,422000,True,0.4868000216837426,MISMATCH,
poland_lodz_2024_julianow-marysin-rogi,1756,13,620000,12,568000,True,0.3540322580645161,MISMATCH,
poland_lodz_2024_lagiewniki,1460,9,430000,5,397260,True,0.16991192478970807,MISMATCH,
poland_lodz_2024_mileszki,769,6,445000,4,315000,True,0.5660984114684231,MISMATCH,
poland_lodz_2024_nad-nerem,298,7,421000,4,408500,True,1.0,PASS,
poland_lodz_2024_nowosolna,1791,9,493000,6,389000,True,0.26446107575015737,MISMATCH,
poland_lodz_2024_nr-33,664,11,429000,6,409500,True,0.6191142191142192,MISMATCH,
poland_lodz_2024_wiskitno,1399,7,474000,3,457000,True,0.14468023496318358,MISMATCH,
poland_lodz_2024_wzniesien-lodzkich,601,4,426000,3,320000,True,0.9043577705549537,MISMATCH,
poland_lodz_2024_zdrowie-mania,801,8,465000,6,419600,True,1.0,PASS,
poland_poznan_2023_2-kiekrz-krzyzowniki-smochowice-podolany-strzeszyn,9552,9,1760000,3,1643400,True,0.718696866273658,MISMATCH,
poland_poznan_2023_7-morasko-radojewo-naramowice-umultowo,9527,6,1510000,3,1048200,True,0.11785687776797275,MISMATCH,
poland_poznan_2023_9-stare-miasto,6119,7,800000,1,800000,True,0.44437182280319537,MISMATCH,
poland_warszawa_2017_aleksandrow,422,5,110411,2,89200,True,0.30142857142857143,MISMATCH,
poland_warszawa_2017_boernerowo-fort-radiowo-groty-gorce,647,4,400000,4,393550,True,1.0,PASS,
poland_warszawa_2017_chomiczowka,723,11,1200000,10,1115474,True,1.0,PASS,
poland_warszawa_2017_falenica,494,13,136165,6,135119,True,0.9069878456284655,MISMATCH,
poland_warszawa_2017_kamionek,927,9,308298,6,307297,True,0.286364862197336,MISMATCH,
poland_warszawa_2017_las,135,5,113800,5,113800,True,1.0,PASS,
poland_warszawa_2017_marymont-potok-zoliborz-dziennikarski,587,13,475000,9,467600,True,0.41192982456140353,MISMATCH,
