subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
8,257760,"[9, 5, 7, 4, 2, 10, 1, 8]",16948,3814,6544887,7271391,0.6686920497139476,0.9130955231027053,0.8194331327888965,0.8337244323732316
7,176794,"[9, 5, 7, 4, 2, 10, 3]",15220,3888,6812044,7556328,0.600512921680805,0.9308115872635863,0.8528817312836425,0.8663947891986494
8,258060,"[9, 5, 7, 4, 2, 10, 3, 8]",17569,3920,6917424,7681240,0.6931939238508582,0.9384725879818051,0.8660755211127555,0.8807169713363732
7,208060,"[9, 5, 7, 4, 2, 10, 8]",14879,3790,6486098,7180155,0.5870585914381535,0.9073497725640411,0.8120726306987112,0.823263478985908
6,129794,"[9, 5, 7, 4, 2, 0]",15857,4045,7548936,8178990,0.6256460840402446,0.9683983720373474,0.9451421049290661,0.9377880786683508
7,179494,"[9, 5, 7, 4, 2, 0, 1]",17926,4060,7586538,8239770,0.7072795423160386,0.9719894661240125,0.9498499516281961,0.944757002633469
8,229494,"[9, 5, 7, 4, 2, 0, 1, 3]",20616,4141,7864213,8571870,0.8134148747287433,0.9913813741920038,0.984615425065271,0.9828349830351762
9,310760,"[9, 5, 7, 4, 2, 0, 1, 3, 8]",22965,4156,7915081,8634090,0.9060958768987966,0.9949724682786689,0.990984201882763,0.989969014774394
8,260760,"[9, 5, 7, 4, 2, 0, 1, 8]",20275,4085,7661562,8341570,0.7999605444860919,0.9779746229351209,0.9592431086612134,0.9564292049968951
7,179794,"[9, 5, 7, 4, 2, 0, 3]",18547,4134,7843742,8542911,0.7317814164529493,0.9897055302848935,0.9820524143270685,0.9795145969031285
8,261060,"[9, 5, 7, 4, 2, 0, 3, 8]",20896,4149,7895379,8605026,0.8244624186230025,0.9932966243715585,0.9885174715049572,0.9866365895338182
7,211060,"[9, 5, 7, 4, 2, 0, 8]",18206,4070,7625138,8280415,0.7183270862102978,0.9743835288484558,0.9546827499523919,0.9494172842156051
6,132494,"[9, 5, 7, 4, 2, 1]",14599,3762,6390843,7074441,0.5760110475438942,0.9006463969355997,0.8001465114144812,0.8111425045198253
7,182494,"[9, 5, 7, 4, 2, 1, 3]",17289,3904,6854451,7618656,0.6821463799565989,0.9346420876226957,0.8581911737327145,0.8735412040209246
8,263760,"[9, 5, 7, 4, 2, 1, 3, 8]",19638,3933,6952423,7732278,0.7748273821266523,0.9415848695235816,0.8704574669300751,0.8865688953464373
7,213760,"[9, 5, 7, 4, 2, 1, 8]",16948,3814,6544887,7271391,0.6686920497139476,0.9130955231027053,0.8194331327888965,0.8337244323732316
6,132794,"[9, 5, 7, 4, 2, 3]",15220,3888,6812044,7556328,0.600512921680805,0.9308115872635863,0.8528817312836425,0.8663947891986494
7,214060,"[9, 5, 7, 4, 2, 3, 8]",17569,3920,6917424,7681240,0.6931939238508582,0.9384725879818051,0.8660755211127555,0.8807169713363732
6,164060,"[9, 5, 7, 4, 2, 8]",14879,3790,6486098,7180155,0.5870585914381535,0.9073497725640411,0.8120726306987112,0.823263478985908
5,96794,"[9, 5, 7, 4, 10]",9492,3260,4853947,5312170,0.3745117380153877,0.780464448168542,0.6077240136615446,0.6090837252349804
6,143794,"[9, 5, 7, 4, 10, 0]",12819,3824,6765178,7309576,0.505780232787532,0.9154895858271487,0.8470140129867056,0.838102654841281
7,193494,"[9, 5, 7, 4, 10, 0, 1]",14888,3852,6830219,7417026,0.5874136910633261,0.9221929614555902,0.8551572781629757,0.8504226759016948
8,243494,"[9, 5, 7, 4, 10, 0, 1, 3]",17578,3966,7194494,7862595,0.6935490234760308,0.9494852765142446,0.9007652473222103,0.9015108049279167
9,324760,"[9, 5, 7, 4, 10, 0, 1, 3, 8]",19927,3992,7274843,7966036,0.786230025646084,0.9557098395977974,0.9108251051603143,0.9133711613589104
8,274760,"[9, 5, 7, 4, 10, 0, 1, 8]",17237,3890,6939852,7564105,0.6800946932333793,0.931290399808475,0.8688835522219541,0.8672864858369634
7,193794,"[9, 5, 7, 4, 10, 0, 3]",15509,3949,7152703,7795326,0.6119155652002367,0.9454153698826909,0.8955329293230789,0.8937978640557624
8,275060,"[9, 5, 7, 4, 10, 0, 3, 8]",17858,3977,7237900,7906276,0.70459656737029,0.9521187455111324,0.9061997665983773,0.9065191887337793
7,225060,"[9, 5, 7, 4, 10, 0, 8]",15168,3864,6880323,7463316,0.5984612349575853,0.9250658367249222,0.8614304006302169,0.8557302028899364
6,146494,"[9, 5, 7, 4, 10, 1]",11561,3323,4993518,5519503,0.4561451962911817,0.7955470433325353,0.6251985860684447,0.6328561489345503
