subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
10,262900,"[1, 2, 8, 10, 3, 7, 0, 4, 6, 11]",1662,274,35642,37401,0.8606939409632315,0.982078853046595,0.9802260663898132,0.9644155643227353
9,222900,"[1, 2, 8, 10, 3, 7, 0, 4, 11]",1500,273,35301,37128,0.7767995857068877,0.978494623655914,0.9708478864717692,0.9573760346561461
9,497900,"[1, 2, 8, 10, 3, 7, 0, 4, 9]",1521,276,36032,37950,0.787674779906784,0.989247311827957,0.9909518440086906,0.9785719811247776
8,104900,"[1, 2, 8, 10, 3, 7, 0, 6]",1380,269,34622,36046,0.7146556188503366,0.96415770609319,0.9521740326173648,0.9294757742193342
9,229900,"[1, 2, 8, 10, 3, 7, 0, 6, 11]",1495,271,34903,36585,0.7742102537545313,0.9713261648745519,0.9599020929017353,0.943374332791831
8,189900,"[1, 2, 8, 10, 3, 7, 0, 11]",1333,270,34540,36315,0.6903158984981874,0.967741935483871,0.949918869118011,0.9364121605941054
8,464900,"[1, 2, 8, 10, 3, 7, 0, 9]",1354,274,35394,37401,0.7011910926980839,0.982078853046595,0.973405571903963,0.9644155643227353
7,78050,"[1, 2, 8, 10, 3, 7, 5]",1168,268,32826,35778,0.6048679440704299,0.9605734767025089,0.9027804515827398,0.9225651736675176
8,111050,"[1, 2, 8, 10, 3, 7, 5, 4]",1335,273,34035,37128,0.69135163127913,0.978494623655914,0.9360303622012596,0.9573760346561461
9,151050,"[1, 2, 8, 10, 3, 7, 5, 4, 6]",1497,274,34547,37401,0.7752459865354738,0.982078853046595,0.950111383075273,0.9644155643227353
10,276050,"[1, 2, 8, 10, 3, 7, 5, 4, 6, 11]",1612,275,34762,37675,0.8348006214396686,0.985663082437276,0.9560243117626028,0.9714808798122793
9,236050,"[1, 2, 8, 10, 3, 7, 5, 4, 11]",1450,274,34254,37401,0.7509062661833247,0.982078853046595,0.9420532988641677,0.9644155643227353
8,118050,"[1, 2, 8, 10, 3, 7, 5, 6]",1330,269,33401,36046,0.6887622993267737,0.96415770609319,0.9185940980721102,0.9294757742193342
9,243050,"[1, 2, 8, 10, 3, 7, 5, 6, 11]",1445,270,33617,36315,0.7483169342309685,0.967741935483871,0.9245345287533346,0.9364121605941054
8,203050,"[1, 2, 8, 10, 3, 7, 5, 11]",1283,269,33046,36046,0.6644225789746245,0.96415770609319,0.9088308902395423,0.9294757742193342
8,478050,"[1, 2, 8, 10, 3, 7, 5, 9]",1304,277,34597,38226,0.675297773174521,0.992831541218638,0.9514864827700008,0.9856888682602305
7,81050,"[1, 2, 8, 10, 3, 7, 4]",1172,270,32900,36315,0.6069394096323149,0.967741935483871,0.904815599130937,0.9364121605941054
8,121050,"[1, 2, 8, 10, 3, 7, 4, 6]",1334,271,33526,36585,0.6908337648886588,0.9713261648745519,0.92203184730893,0.943374332791831
9,246050,"[1, 2, 8, 10, 3, 7, 4, 6, 11]",1449,273,33899,37128,0.7503883997928534,0.978494623655914,0.9322900910315998,0.9573760346561461
8,206050,"[1, 2, 8, 10, 3, 7, 4, 11]",1287,272,33293,36856,0.6664940445365096,0.974910394265233,0.9156238827314981,0.9503622908125113
8,481050,"[1, 2, 8, 10, 3, 7, 4, 9]",1308,276,34477,37950,0.677369238736406,0.989247311827957,0.9481862435026539,0.9785719811247776
7,88050,"[1, 2, 8, 10, 3, 7, 6]",1167,266,32316,35245,0.6043500776799585,0.953405017921147,0.8887544346965155,0.908821330032748
8,213050,"[1, 2, 8, 10, 3, 7, 6, 11]",1282,268,32694,35778,0.6639047125841533,0.9605734767025089,0.8991501883886581,0.9225651736675176
8,488050,"[1, 2, 8, 10, 3, 7, 6, 9]",1303,274,33967,37401,0.6747799067840498,0.982078853046595,0.9341602266164297,0.9644155643227353
7,173050,"[1, 2, 8, 10, 3, 7, 11]",1120,267,32020,35511,0.5800103573278095,0.956989247311828,0.8806138445037265,0.9156803589386555
7,448050,"[1, 2, 8, 10, 3, 7, 9]",1141,274,33507,37401,0.5908855515277058,0.982078853046595,0.9215093094249333,0.9644155643227353
6,49050,"[1, 2, 8, 10, 3, 12]",957,254,29624,32131,0.4955981356809943,0.910394265232975,0.8147190671323671,0.8285242773523117
7,65900,"[1, 2, 8, 10, 3, 12, 0]",1170,267,33759,35511,0.6059036768513724,0.956989247311828,0.9284398118863617,0.9156803589386555
8,95900,"[1, 2, 8, 10, 3, 12, 0, 5]",1333,270,34631,36315,0.6903158984981874,0.967741935483871,0.9524215505624157,0.9364121605941054
9,128900,"[1, 2, 8, 10, 3, 12, 0, 5, 4]",1500,273,35381,37128,0.7767995857068877,0.978494623655914,0.9730480459833338,0.9573760346561461
10,168900,"[1, 2, 8, 10, 3, 12, 0, 5, 4, 6]",1662,274,35716,37401,0.8606939409632315,0.982078853046595,0.9822612139380105,0.9644155643227353
11,293900,"[1, 2, 8, 10, 3, 12, 0, 5, 4, 6, 11]",1777,276,35992,37950,0.9202485758674263,0.989247311827957,0.9898517642529083,0.9785719811247776
10,253900,"[1, 2, 8, 10, 3, 12, 0, 5, 4, 11]",1615,275,35659,37675,0.8363542206110823,0.985663082437276,0.9806936002860207,0.9714808798122793
9,135900,"[1, 2, 8, 10, 3, 12, 0, 5, 6]",1495,271,34991,36585,0.7742102537545313,0.9713261648745519,0.9623222683644564,0.943374332791831
10,260900,"[1, 2, 8, 10, 3, 12, 0, 5, 6, 11]",1610,273,35267,37128,0.833764888658726,0.978494623655914,0.9699128186793543,0.9573760346561461
9,220900,"[1, 2, 8, 10, 3, 12, 0, 5, 11]",1448,272,34909,36856,0.7498705334023822,0.974910394265233,0.9600671048651027,0.9503622908125113
9,495900,"[1, 2, 8, 10, 3, 12, 0, 5, 9]",1469,276,35787,37950,0.7607457276022787,0.989247311827957,0.9842138555045241,0.9785719811247776
8,98900,"[1, 2, 8, 10, 3, 12, 0, 4]",1337,270,34546,36315,0.6923873640600725,0.967741935483871,0.9500838810813784,0.9364121605941054
9,138900,"[1, 2, 8, 10, 3, 12, 0, 4, 6]",1499,271,34936,36585,0.7762817193164163,0.9713261648745519,0.9608096587002558,0.943374332791831
10,263900,"[1, 2, 8, 10, 3, 12, 0, 4, 6, 11]",1614,274,35340,37401,0.8358363542206111,0.982078853046595,0.971920464233657,0.9644155643227353
9,223900,"[1, 2, 8, 10, 3, 12, 0, 4, 11]",1452,273,34961,37128,0.7519419989642672,0.978494623655914,0.9614972085476197,0.9573760346561461
9,498900,"[1, 2, 8, 10, 3, 12, 0, 4, 9]",1473,275,35629,37675,0.7628171931641636,0.985663082437276,0.979868540469184,0.9714808798122793
8,105900,"[1, 2, 8, 10, 3, 12, 0, 6]",1332,268,34175,35778,0.6897980321077162,0.9605734767025089,0.9398806413464976,0.9225651736675176
9,230900,"[1, 2, 8, 10, 3, 12, 0, 6, 11]",1447,271,34580,36585,0.749352667011911,0.9713261648745519,0.9510189488737933,0.943374332791831
8,190900,"[1, 2, 8, 10, 3, 12, 0, 11]",1285,270,34175,36315,0.665458311755567,0.967741935483871,0.9398806413464976,0.9364121605941054
