subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
2,"[5, 7]",23,20,118,190,True,1.0,0.6052631578947368,0.7692307692307693,0.44528301886792454,0.5846153846153846,1.0
2,"[6, 7]",19,16,84,120,True,1.0,0.5,0.6153846153846154,0.3169811320754717,0.36923076923076925,1.0
3,"[0, 1, 2]",28,19,102,171,True,1.0,0.56,0.6551724137931034,0.3411371237458194,0.4211822660098522,1.0
3,"[0, 1, 3]",36,24,196,276,True,1.0,0.72,0.8275862068965517,0.6555183946488294,0.6798029556650246,1.0
3,"[0, 1, 4]",38,25,229,300,True,1.0,0.76,0.8620689655172413,0.7658862876254181,0.7389162561576355,1.0
3,"[0, 1, 5]",29,24,125,276,True,1.0,0.58,0.8275862068965517,0.4180602006688963,0.6798029556650246,1.0
3,"[0, 1, 6]",25,20,91,190,True,1.0,0.5,0.6896551724137931,0.30434782608695654,0.46798029556650245,1.0
3,"[0, 1, 7]",30,21,127,210,True,1.0,0.6,0.7241379310344828,0.42474916387959866,0.5172413793103449,1.0
3,"[0, 2, 3]",38,25,213,300,True,1.0,0.76,0.8620689655172413,0.7123745819397993,0.7389162561576355,1.0
3,"[0, 2, 4]",40,27,243,351,True,1.0,0.8,0.9310344827586207,0.8127090301003345,0.8645320197044335,1.0
3,"[0, 2, 5]",31,23,136,253,True,1.0,0.62,0.7931034482758621,0.45484949832775917,0.6231527093596059,1.0
3,"[0, 2, 6]",27,20,102,190,True,1.0,0.54,0.6896551724137931,0.3411371237458194,0.46798029556650245,1.0
3,"[0, 2, 7]",32,23,142,253,True,1.0,0.64,0.7931034482758621,0.47491638795986624,0.6231527093596059,1.0
3,"[0, 3, 4]",48,26,277,325,True,1.0,0.96,0.896551724137931,0.9264214046822743,0.8004926108374384,1.0
3,"[0, 3, 5]",39,26,217,325,True,1.0,0.78,0.896551724137931,0.725752508361204,0.8004926108374384,1.0
3,"[0, 3, 6]",35,24,196,276,True,1.0,0.7,0.8275862068965517,0.6555183946488294,0.6798029556650246,1.0
3,"[0, 3, 7]",40,25,228,300,True,1.0,0.8,0.8620689655172413,0.7625418060200669,0.7389162561576355,1.0
3,"[0, 4, 5]",41,28,252,378,True,1.0,0.82,0.9655172413793104,0.842809364548495,0.9310344827586207,1.0
3,"[0, 4, 6]",37,23,213,253,True,1.0,0.74,0.7931034482758621,0.7123745819397993,0.6231527093596059,1.0
3,"[0, 4, 7]",42,24,228,276,True,1.0,0.84,0.8275862068965517,0.7625418060200669,0.6798029556650246,1.0
3,"[0, 5, 6]",28,23,118,253,True,1.0,0.56,0.7931034482758621,0.39464882943143814,0.6231527093596059,1.0
3,"[0, 5, 7]",33,25,157,300,True,1.0,0.66,0.8620689655172413,0.5250836120401338,0.7389162561576355,1.0
3,"[0, 6, 7]",29,20,120,190,True,1.0,0.58,0.6896551724137931,0.4013377926421405,0.46798029556650245,1.0
3,"[1, 2, 3]",36,24,197,276,True,1.0,0.72,0.8275862068965517,0.6588628762541806,0.6798029556650246,1.0
3,"[1, 2, 4]",38,26,241,325,True,1.0,0.76,0.896551724137931,0.8060200668896321,0.8004926108374384,1.0
3,"[1, 2, 5]",29,21,115,210,True,1.0,0.58,0.7241379310344828,0.38461538461538464,0.5172413793103449,1.0
3,"[1, 2, 6]",25,19,84,171,True,1.0,0.5,0.6551724137931034,0.2809364548494983,0.4211822660098522,1.0
